nome;cultura;saco;preco
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS PRO GRAFITADA VC80 500KG;Agricultura;500 kg;0
UROCHLOA RUZIZIENSIS RUZIZIENSIS SBS PRO GRAFITADA TRATADA VC80 10KG;Agricultura;10 kg;0
MEGATHYRSUS MAXIMUS CV TANZANIA-1 GRAFITADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS PRO GRAFITADA VC80 1000KG;Pecuária;1000 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS PRO GRAFITADA VC80 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS TANZANIA-1 SBS PRO GRAFITADA VC80 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV ARUANA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV ARUANA NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA DECUMBENS CV BASILISK NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA DECUMBENS CV BASILISK NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA RUZIZIENSIS CV BRS INTEGRA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV BRS PAIAGUAS NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV BRS PAIAGUAS NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA CV BRS PIATA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV BRS PIATA NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA CV BRS PIATA NOBRE INCRUSTADA 500KG;Pecuária;500 kg;0
MEGATHYRSUS MAXIMUS CV BRS TAMANI NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV BRS TAMANI NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV BRS ZURI NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV BRS ZURI NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV BRS ZURI NOBRE INCRUSTADA 20KG;Pecuária;20 kg;0
DUNAMIS (MIXE LNN 56) NOBRE INCRUSTADA  20KG;Agricultura;20 kg;0
UROCHLOA HUMIDICOLA CV HUMIDICOLA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA CV HUMIDICOLA NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA CV BRS RB331 IPYPORA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA CV LLANERO NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA HUMIDICOLA CV LLANERO NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA CV MARANDU NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV MARANDU NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV MASSAI NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV MASSAI NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
UROCHLOA BRIZANTHA CV MG-4 NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV MG-5 NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA BRIZANTHA CV MG-5 NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV MIYAGUI NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV MIYAGUI NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV MOMBAÇA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV MOMBAÇA NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV MOMBACA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
MEGATHYRSUS MAXIMUS CV MOMBACA NOBRE INCRUSTADA 12KG;Pecuária;12 kg;0
MEGATHYRSUS MAXIMUS CV QUENIA NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
UROCHLOA RUZIZIENSIS CV RUZIZIENSIS NOBRE INCRUSTADA 10KG;Agricultura;10 kg;0
UROCHLOA RUZIZIENSIS CV RUZIZIENSIS NOBRE INCRUSTADA 12KG;Agricultura;12 kg;0
UROCHLOA RUZIZIENSIS CV RUZIZIENSIS NOBRE INCRUSTADAS  1000KG;Agricultura;1000 kg;0
UROCHLOA RUZIZIENSIS CV RUZIZIENSIS NOBRE INCRUSTADAS  500KG;Agricultura;500 kg;0
UROCHLOA RUZIZIENSIS CV RUZIZIENSIS NOBRE PREMIUM 10KG;Agricultura;10 kg;0
MEGATHYRSUS MAXIMUS CV TANZANIA-1 NOBRE INCRUSTADA 10KG;Pecuária;10 kg;0
"MIX COBERTURA MILHETO, RUZIZIENSIS SBS PURA VC80 25KG";Agricultura;25 kg;0
